Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
DangerousGoods,inhalationZone,string,,"minLength=1
maxLength=1",,A,"The zone classification of the toxicity of the inhalant. Possible values are:
- `A` (Hazard Zone A) can be assigned to specific gases and liquids
- `B` (Hazard Zone B) can be assigned to specific gases and liquids
- `C` (Hazard Zone C) can **only** be assigned to specific gases
- `D` (Hazard Zone D) can **only** be assigned to specific gases",
DangerousGoods,innerPackagings,"InnerPackaging list",,,,,"A list of `Inner Packings` contained inside this `outer packaging/overpack`.",
DangerousGoods,"isCompetentAuthorityApprovalRequired",boolean,yes,,,false,"Indicates if the cargo require approval from authorities",
DangerousGoods,isEmptyUncleanedResidue,boolean,yes,,,false,"Indicates if the cargo is residue.",
DangerousGoods,isExceptedQuantity,boolean,yes,,,false,"Indicates if the dangerous goods can be transported as excepted quantity in accordance with Chapter 3.5 of the IMO IMDG Code.",
DangerousGoods,isHot,boolean,yes,,,false,"Indicates if high temperature cargo is shipped.",
DangerousGoods,isLimitedQuantity,boolean,yes,,,false,"Indicates if the dangerous goods can be transported as limited quantity in accordance with Chapter 3.4 of the IMO IMDG Code.",
DangerousGoods,isMarinePollutant,boolean,yes,,,false,"Indicates if the goods belong to the classification of Marine Pollutant.",
DangerousGoods,isReportableQuantity,boolean,yes,,,false,"Indicates if a container of hazardous material is at the reportable quantity level. If `TRUE`, a report to the relevant authority must be made in case of spill.",
DangerousGoods,isSalvagePackings,boolean,yes,,,false,"Indicates if the cargo has special packaging for the transport, recovery or disposal of damaged, defective, leaking or nonconforming hazardous materials packages, or hazardous materials that have spilled or leaked.",
DangerousGoods,isWaste,boolean,yes,,,false,"Indicates if waste is being shipped",
DangerousGoods,limits,Limits,,,,,"Limits for the `Dangerous Goods`. The same `Temperature Unit` must apply to all attributes in this structure.",
DangerousGoods,NANumber,string,,"minLength=4
maxLength=4","^\d{4}$",9037,"Four-digit number that is assigned to dangerous, hazardous, and harmful substances by the United States Department of Transportation.",
DangerousGoods,netExplosiveContent,NetExplosiveContent,,,,,"The total weight of the explosive substances, without the packaging's, casings, etc.",
DangerousGoods,netVolume,NetVolume,,,,,"The volume of the referenced dangerous goods.

**Condition:** only applicable to liquids and gas.",
DangerousGoods,netWeight,NetWeight,,,,,"Total weight of the goods carried, excluding packaging.",
DangerousGoods,packingGroup,integer,,"minimum=1
maximum=3",,3,"The packing group according to the UN Recommendations on the Transport of Dangerous Goods and IMO IMDG Code.",
DangerousGoods,properShippingName,string,yes,maxLength=250,,"Chromium Trioxide, anhydrous","The proper shipping name for goods under IMDG Code, or the product name for goods under IBC Code and IGC Code, or the bulk cargo shipping name for goods under IMSBC Code, or the name of oil for goods under Annex I to the MARPOL Convention.",
DangerousGoods,segregationGroups,"string list",,maxLength=2,,,"List of the segregation groups applicable to specific hazardous goods according to the IMO IMDG Code.

**Condition:** only applicable to specific hazardous goods.
Item description:
Grouping of Dangerous Goods having certain similar chemical properties. Possible values are:
- `1` (Acids)
- `2` (Ammonium Compounds)
- `3` (Bromates)
- `4` (Chlorates)
- `5` (Chlorites)
- `6` (Cyanides)
- `7` (Heavy metals and their salts)
- `8` (Hypochlorites)
- `9` (Lead and its compounds)
- `10` (Liquid halogenated hydrocarbons)
- `11` (Mercury and mercury compounds)
- `12` (Nitrites and their mixtures)
- `13` (Perchlorates)
- `14` (Permanganates)
- `15` (Powdered metals)
- `16` (Peroxides),
- `17` (Azides)
- `18` (Alkalis)
",
DangerousGoods,specialCertificateNumber,string,,maxLength=255,,22663:3,"Text field to indicate certificate number & segment for specific stowage requirements overruling IMDG code",
DangerousGoods,subsidiaryRisk1,string,,"minLength=1
maxLength=3","^[0-9](\.[0-9])?$",1.2,"Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code.",
DangerousGoods,subsidiaryRisk2,string,,"minLength=1
maxLength=3","^[0-9](\.[0-9])?$",1.2,"Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code.",
DangerousGoods,technicalName,string,,maxLength=250,,"xylene and benzene","The recognized chemical or biological name or other name currently used for the referenced dangerous goods as described in chapter 3.1.2.8 of the IMDG Code.",
DangerousGoods,UNNumber,string,,"minLength=4
maxLength=4","^\d{4}$",1463,"United Nations Dangerous Goods Identifier (UNDG) assigned by the UN Sub-Committee of Experts on the Transport of Dangerous Goods and shown in the IMO IMDG.",
"DestinationChargesPaymentTerm","haulageChargesPaymentTermCode",string,,,,PRE,"An indicator of whether the costs for inland transportation to the port, when applicable, are prepaid (`PRE`) or collect (`COL`).

- `PRE` (Prepaid)
- `COL` (Collect)",
"DestinationChargesPaymentTerm","otherChargesPaymentTermCode",string,,,,PRE,"An indicator of whether destination charges (excluding port and haulage) are prepaid (`PRE`) or collect (`COL`).

- `PRE` (Prepaid)
- `COL` (Collect)",
"DestinationChargesPaymentTerm","portChargesPaymentTermCode",string,,,,PRE,"An indicator of whether the destination port charges are prepaid (`PRE`) or collect (`COL`).

- `PRE` (Prepaid)
- `COL` (Collect)",
DischargeLocation,address,Address,,,,,"Address of the location.",
DischargeLocation,facility,Facility,,,,,"Facility information for the location.",
DischargeLocation,locationName,string,,maxLength=100,"^\S(?:.*\S)?$","Port of Amsterdam","The name of the location.",
DischargeLocation,UNLocationCode,string,,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
DocumentParties,bookingAgent,BookingAgent,,,,,"The Booking Agent party.",
DocumentParties,carrierBookingOffice,CarrierBookingOffice,,,,,"The Carrier Booking Office.",
DocumentParties,consignee,Consignee,,,,,"The Consignee party.",
DocumentParties,other,"OtherDocumentParty list",,,,,"A list of document parties that can be optionally provided at booking stage.",
DocumentParties,serviceContractOwner,ServiceContractOwner,,,,,"The Service Contract Owner party.",
DocumentParties,shipper,Shipper,,,,,"The Shipper party.",
EmergencyContactDetails,contact,string,yes,maxLength=255,,"Henrik Larsen","Name of the Contact person during an emergency.",
EmergencyContactDetails,phone,string,yes,maxLength=30,"^\S(?:.*\S)?$","+45 70262970","Phone number for the contact. Phone **MUST** include an international phone number format as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en).",
EmergencyContactDetails,provider,string,,maxLength=255,,GlobeTeam,"Name of the third party vendor providing emergency support",
EmergencyContactDetails,referenceNumber,string,,maxLength=255,,12234,"Contract reference for the emergency support provided by an external third party vendor.",
"EmptyContainerDepotReleaseLocation",address,Address,,,,,"Address of the location.",
"EmptyContainerDepotReleaseLocation",facility,Facility,,,,,"Facility information for the location.",
"EmptyContainerDepotReleaseLocation",geoCoordinate,GeoCoordinate,,,,,"Geographic coordinate (latitude/longitude) of the location.",
"EmptyContainerDepotReleaseLocation",locationName,string,,maxLength=100,"^\S(?:.*\S)?$","Shanghai Shengdong International Container Terminal","The name of the location.",
"EmptyContainerDepotReleaseLocation",UNLocationCode,string,,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
EmptyContainerPickup,dateTime,"string(date-time)",,,,2024-09-04T09:41Z,"The date and time for the pick-up of the empty container(s) at the Empty container depot release location, if provided.",
EmptyContainerPickup,depotReleaseLocation,"EmptyContainerDepotReleaseLocation",,,,,"The location of the depot from which the empty container(s) will be released from",
ExportLicense,expiryDate,"string(date)",,,,2024-09-21,"Expiry date of the `Export License` applicable to the booking.",
ExportLicense,isRequired,boolean,,,,true,"Information provided by the shipper to indicate whether an `Export License` or permit is required for this shipment/commodity/destination.

**Note:** If this property is omitted, it may be interpreted differently by different API providers and by the same API provider in different contexts.",
ExportLicense,issueDate,"string(date)",,,,2024-09-14,"Issue date of the `Export License` applicable to the booking.",
ExportLicense,reference,string,,maxLength=35,"^\S(?:.*\S)?$",EMC007123,"Reference number assigned to an `Export License` or permit, which authorizes a business or individual to export specific goods to specific countries under defined conditions. It is a permit that is required when shipping certain restricted or controlled goods, such as military equipment, high-tech items, chemicals, or items subject to international regulations. The `Export License` must be valid at time of departure.",
Facility,facilityCode,string,yes,maxLength=6,"^\S(?:.*\S)?$",ADT,"The code used for identifying the specific facility. This code does not include the UN Location Code.

The definition of the code depends on the `facilityCodeListProvider`. As code list providers maintain multiple codeLists the following codeList is used:

- `SMDG` (the codeList used is the [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/))
- `BIC` (the codeList used is the [BIC Facility Codes](https://www.bic-code.org/facility-codes/))",
Facility,facilityCodeListProvider,string,yes,,,SMDG,"The provider used for identifying the facility Code. Some facility codes are only defined in combination with an `UN Location Code`
- `BIC` (Requires a UN Location Code)
- `SMDG` (Requires a UN Location Code)",
Feedback,code,string,yes,maxLength=50,,PROPERTY_WILL_BE_IGNORED,"A code used to describe the feedback. Possible values are:
- `INFORMATIONAL_MESSAGE` (INFO - to be used when providing extra information)
- `PROPERTY_WILL_BE_IGNORED` (WARN - to be used for unsupported properties/values)
- `PROPERTY_VALUE_MUST_CHANGE` (ERROR - to be used when a wrong property/value is provided)
- `PROPERTY_VALUE_HAS_BEEN_CHANGED` (WARN - when something has been auto-updated without consumer intervention)
- `PROPERTY_VALUE_MAY_CHANGE` (WARN - when something is likely to change in the future)
- `PROPERTY_HAS_BEEN_DELETED` (WARN - when something has been auto-deleted without consumer intervention)",
Feedback,jsonPath,string,,maxLength=500,,"$.location.facilityCode","A path to the property, formatted according to [JSONpath](https://github.com/json-path/JsonPath).",
Feedback,message,string,yes,maxLength=5000,,"Spaces not allowed in facility code","A description with additional information.",
Feedback,property,string,,maxLength=100,,facilityCode,"The name of the property causing the error/warning.",
Feedback,severity,string,yes,maxLength=50,,WARN,"The severity of the feedback. Possible values are:
- `INFO` (Information - ""Your reefer container will use renewable energy"", ""This earlier / premium service is available"")
- `WARN` (Warning - ""I'm going to replace"" / ""Ignore this value"" / ""Use another value instead"")
- `ERROR` (Error - ""This must be changed!"")",
GeoCoordinate,latitude,string,yes,maxLength=10,,48.85855,"Geographic coordinate that specifies the north–south position of a point on the Earth's surface.",
GeoCoordinate,longitude,string,yes,maxLength=11,,2.294492036,"Geographic coordinate that specifies the east–west position of a point on the Earth's surface.",
GrossWeight,unit,string,yes,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
GrossWeight,value,number,yes,minimum=0,,12000.3,"The grand total weight of the DG cargo and weight per `UNNumber`/`NANumber` including packaging items being carried, which can be expressed in imperial or metric terms, as provided by the shipper.",
IdentifyingCode,codeListName,string,,maxLength=100,,DID,"The name of the code list, code generation mechanism or code authority for the `partyCode`. Example values could be:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
IdentifyingCode,codeListProvider,string,yes,maxLength=100,,W3C,"A list of codes identifying a party. Possible values are:
- `WAVE` (Wave)
- `CARX` (CargoX)
- `ESSD` (EssDOCS)
- `IDT` (ICE Digital Trade)
- `BOLE` (Bolero)
- `EDOX` (EdoxOnline)
- `IQAX` (IQAX)
- `SECR` (Secro)
- `TRGO` (TradeGO)
- `ETEU` (eTEU)
- `TRAC` (Enigio trace:original)
- `BRIT` (BRITC eBL)
- `GSBN` (Global Shipping Business Network)
- `WISE` (WiseTech)
- `GLEIF` (Global Legal Entity Identifier Foundation)
- `W3C` (World Wide Web Consortium)
- `DNB` (Dun and Bradstreet)
- `FMC` (Federal Maritime Commission)
- `DCSA` (Digital Container Shipping Association)
- `ZZZ` (Mutually defined)",
IdentifyingCode,partyCode,string,yes,maxLength=150,,MSK,"Code to identify the party as provided by the code list provider",
ImportLicense,expiryDate,"string(date)",,,,2024-09-21,"Expiry date of the `Import License` applicable to the booking.",
ImportLicense,isRequired,boolean,,,,true,"Information provided by the shipper to indicate whether an `Import License` or permit is required for this shipment/commodity/destination.

**Note:** If this property is omitted, it may be interpreted differently by different API providers and by the same API provider in different contexts.",
ImportLicense,issueDate,"string(date)",,,,2024-09-14,"Issue date of the `Import License` applicable to the booking.",
ImportLicense,reference,string,,maxLength=35,"^\S(?:.*\S)?$",EMC007123,"Reference number assigned to an `Import License` or permit, issued by countries exercising import controls that authorizes the importation of the articles stated in the license. The `Import License` must be valid at time of arrival.",
InnerPackaging,description,string,yes,maxLength=100,,"Woven plastic water resistant Bag","Description of the packaging.",
InnerPackaging,material,string,yes,maxLength=100,,Plastic,"The `material` used for the `Inner Packaging` of the referenced `Dangerous Goods`.",
InnerPackaging,quantity,integer,yes,,,20,"Count of `Inner Packagings` of the referenced `Dangerous Goods`.",
InvoicePayableAt,UNLocationCode,string,yes,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
Limits,flashPoint,number,,,,42.0,"Lowest temperature at which a chemical can vaporize to form an ignitable mixture in air.

**Condition:** only applicable to specific hazardous goods according to the IMO IMDG Code.",
Limits,SADT,number,,,,54.1,"Lowest temperature in which self-accelerating decomposition may occur in a substance",
Limits,SAPT,number,,,,70.0,"Lowest temperature in which self-accelerating polymerization may occur in a substance",
Limits,temperatureUnit,string,yes,,,CEL,"The unit for **all attributes in the limits structure** in Celsius or Fahrenheit
- `CEL` (Celsius)
- `FAH` (Fahrenheit)",
Limits,"transportControlTemperature",number,,,,24.1,"Maximum temperature at which certain substance (such as organic peroxides and self-reactive and related substances) can be safely transported for a prolonged period.",
Limits,"transportEmergencyTemperature",number,,,,74.1,"Temperature at which emergency procedures shall be implemented",
LoadLocation,address,Address,,,,,"Address of the location.",
LoadLocation,facility,Facility,,,,,"Facility information for the location.",
LoadLocation,locationName,string,,maxLength=100,"^\S(?:.*\S)?$","Port of Amsterdam","The name of the location.",
LoadLocation,UNLocationCode,string,,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
Location,address,Address,,,,,"Address of the location.",
Location,facility,Facility,,,,,"Facility information for the location.",
Location,geoCoordinate,GeoCoordinate,,,,,"Geographic coordinate (latitude/longitude) of the location.",
Location,locationName,string,,maxLength=100,"^\S(?:.*\S)?$","Port of Amsterdam","The name of the location.",
Location,UNLocationCode,string,,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
NationalCommodityCode,countryCode,string,,"minLength=2
maxLength=2","^[A-Z]{2}$",BR,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
NationalCommodityCode,type,string,yes,maxLength=10,"^\S(?:.*\S)?$",NCM,"The national commodity classification code, which can be one of the following values defined by DCSA:
- `NCM` (Nomenclatura Comum do Mercosul)
- `HTS` (Harmonized Tariff Schedule)
- `SCHEDULE_B` ( Schedule B)
- `TARIC` (Integrated Tariff of the European Communities)
- `CN` (Combined Nomenclature)
- `CUS` (Customs Union and Statistics)",
NationalCommodityCode,values,"string list",yes,"minItems=1
maxLength=10","^\S(?:.*\S)?$",,"A list of `national commodity codes` values.
Item description:
The value of the `National Commodity Code`",
NetExplosiveContent,unit,string,yes,,,KGM,"Unit of measure used to describe the `netExplosiveWeight`. Possible values are:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)",
NetExplosiveContent,value,number,yes,minimum=0,,2400,"The total weight of the explosive substances, without the packaging’s, casings, etc.",
NetVolume,unit,string,yes,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)
- `LTR` (Litre)",
NetVolume,value,number,yes,minimum=0,,2.4,"The volume of the referenced dangerous goods.",
NetWeight,unit,string,yes,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
NetWeight,value,number,yes,minimum=0,,2400,"Total weight of the goods carried, excluding packaging.",
OriginChargesPaymentTerm,"haulageChargesPaymentTermCode",string,,,,PRE,"An indicator of whether the costs for inland transportation to the port, when applicable, are prepaid (`PRE`) or collect (`COL`).

- `PRE` (Prepaid)
- `COL` (Collect)",
OriginChargesPaymentTerm,"otherChargesPaymentTermCode",string,,,,PRE,"An indicator of whether origin charges (excluding port and haulage) are prepaid (`PRE`) or collect (`COL`).

- `PRE` (Prepaid)
- `COL` (Collect)",
OriginChargesPaymentTerm,"portChargesPaymentTermCode",string,,,,PRE,"An indicator of whether the origin port charges are prepaid (`PRE`) or collect (`COL`).

- `PRE` (Prepaid)
- `COL` (Collect)",
OtherDocumentParty,party,Party,yes,,,,"The party information.",
OtherDocumentParty,partyFunction,string,yes,maxLength=3,,DDS,"Specifies the role of the party in a given context. Possible values are:

- `DDR` (Consignor's freight forwarder)
- `DDS` (Consignee's freight forwarder)
- `COW` (Invoice payer on behalf of the consignor (shipper))
- `COX` (Invoice payer on behalf of the consignee)
- `N1` (First Notify Party)
- `N2` (Second Notify Party)
- `NI` (Other Notify Party)
- `NAC` (Named Account Customer)",
OuterPackaging,dangerousGoods,"DangerousGoods list",,,,,"A list of `Dangerous Goods` related to the `Commodity`",
OuterPackaging,description,string,,maxLength=100,,"Drum, steel","Description of the outer packaging/overpack.",
OuterPackaging,imoPackagingCode,string,,"minLength=1
maxLength=5","^[A-Z0-9]{1,5}$",1A2,"The code of the packaging as per IMO.

**Condition:** only applicable to dangerous goods if specified in the [IMO IMDG code](https://www.imo.org/en/publications/Pages/IMDG%20Code.aspx). If not available, the `packageCode` as per UN recommendation 21 should be used.",
OuterPackaging,numberOfPackages,integer,,"minimum=1
maximum=99999999",,18,"Specifies the number of outer packagings/overpacks associated with this `Commodity`.

**Condition:** In case this `OuterPackaging` includes `Dangerous Goods` the `numberOfPackages` is mandatory to provide",
OuterPackaging,packageCode,string,,"minLength=2
maxLength=2","^[A-Z0-9]{2}$",5H,"A code identifying the outer packaging/overpack. `PackageCode` must follow the codes specified in [Recommendation N°21](https://unece.org/trade/uncefact/cl-recommendations)

**Condition:** only applicable to dangerous goods if the `IMO packaging code` is not available.",
Party,address,PartyAddress,,,,,"Party address.",
Party,identifyingCodes,"IdentifyingCode list",,,,,,
Party,partyContactDetails,"PartyContactDetail list",,minItems=1,,,"A list of contact details",
Party,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
Party,reference,string,,maxLength=35,"^\S(?:.*\S)?$",HHL007,"A reference linked to the `Party`.",
Party,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
PartyAddress,city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The city name of the party's address.",
PartyAddress,countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
PartyAddress,floor,string,,maxLength=50,"^\S(?:.*\S)?$",2nd,"The floor of the party's street number.",
PartyAddress,POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
PartyAddress,postCode,string,,maxLength=10,,"1047 HM","The post code of the party's address.",
PartyAddress,stateRegion,string,,maxLength=65,,"North Holland","The state/region of the party's address.",
PartyAddress,street,string,yes,maxLength=70,,Ruijggoordweg,"The name of the street of the party's address.",
PartyAddress,streetNumber,string,,maxLength=50,,100,"The number of the street of the party's address.",
PartyAddress,UNLocationCode,string,,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the carrier booking office is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
PartyContactDetail,email,string,,maxLength=100,"^.+@\S+$",info@dcsa.org,"`E-mail` address to be used",
PartyContactDetail,name,string,yes,maxLength=35,"^\S(?:.*\S)?$",Henrik,"Name of the contact",
PartyContactDetail,phone,string,,maxLength=30,"^\S(?:.*\S)?$","+45 70262970","Phone number for the contact. Phone **MUST** include an international phone number format as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en).",
PlaceOfBLIssue,countryCode,string,,"minLength=2
maxLength=2","^[A-Z]{2}$",DK,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
PlaceOfBLIssue,locationName,string,,maxLength=100,"^\S(?:.*\S)?$","Port of Amsterdam","The name of the location.",
PlaceOfBLIssue,UNLocationCode,string,,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
Reference,type,string,yes,maxLength=3,,CR,"The reference type codes defined by DCSA. Possible values are:
- `CR` (Customer's Reference)
- `ECR` (Empty container release reference)
- `AKG` (Vehicle Identification Number)
- `AEF` (Customer Load Reference)",
Reference,value,string,yes,maxLength=35,"^\S(?:.*\S)?$",HHL00103004,"The value of the reference.",
RequestedEquipment,activeReeferSettings,ActiveReeferSettings,,,,,"Active reefer settings for temperature-controlled containers.",
RequestedEquipment,cargoGrossWeight,CargoGrossWeightReq,,,,,"The gross weight of the cargo and any packaging.",
RequestedEquipment,commodities,"Commodity list",,,,,"A list of `Commodities`",
RequestedEquipment,containerPositionings,"ContainerPositioning list",,,,,"A list of date and time and locations of the customer facility where the container(s) will be loaded. If multiple Container positioning locations (`CPO`) are provided (multi-stop), the first location is where the empty container will be stuffed first. The order in which the `CPO` locations should be visited is implicitly defined by the shipper based on the date and time provided per location.

**Condition:** Only applicable to carrier haulage service at origin (`Receipt type at origin = 'SD'`).",
RequestedEquipment,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`",
RequestedEquipment,emptyContainerPickup,EmptyContainerPickup,,,,,"The date and time and location for the empty container pick-up.

**Condition:** Only applicable to merchant haulage service at origin (`Receipt type at origin = 'CY'`).",
RequestedEquipment,equipmentReferences,"string list",,maxLength=11,"^\S(?:.*\S)?$",,"A list of equipments to be used by the shipper if known at the time of booking
Item description:
The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.

According to [ISO 6346](https://www.iso.org/standard/83558.html), a container identification code consists of a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with [ISO 6346](https://www.iso.org/standard/83558.html), it is suggested to follow [Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations) from SMDG.
",
RequestedEquipment,isNonOperatingReefer,boolean,,,,false,"If the equipment is a Reefer Container then setting this attribute will indicate that the container should be treated as a `DRY` container.

**Condition:** Only applicable if `ISOEquipmentCode` shows a Reefer type.",
RequestedEquipment,ISOEquipmentCode,string,yes,maxLength=4,"^\S(?:.*\S)?$",22RT,"Unique code for the different equipment size and type used to transport commodities. The code can refer to one of ISO size type (e.g. 22G1) or ISO type group (e.g. 22GP) following the [ISO 6346](https://www.iso.org/standard/83558.html) standard.",
RequestedEquipment,isShipperOwned,boolean,yes,,,true,"Indicates whether the container is shipper owned (`SOC`).",
RequestedEquipment,references,"Reference list",,,,,"A list of `References`",
RequestedEquipment,tareWeight,TareWeight,,,,,"The weight of an empty container (gross container weight).

**Condition:** In case of Shipper Owned Containers (`SOC`) this is a required property",
RequestedEquipment,units,integer,yes,minimum=1,,3,"Number of requested equipment units.",
ServiceContractOwner,address,PartyAddress,,,,,"Party address.",
ServiceContractOwner,identifyingCodes,"IdentifyingCode list",,,,,,
ServiceContractOwner,partyContactDetails,"PartyContactDetail list",,minItems=1,,,"A list of contact details",
ServiceContractOwner,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
ServiceContractOwner,reference,string,,maxLength=35,"^\S(?:.*\S)?$",HHL007,"A reference linked to the `Service Contract Owner`.",
ServiceContractOwner,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
ShipmentCutOffTime,cutOffDateTime,"string(date-time)",yes,,,2024-09-04T09:41Z,"Actual cut-off time",
ShipmentCutOffTime,cutOffDateTimeCode,string,yes,maxLength=3,,DCO,"Code for the cut-off time. Possible values are:
- `DCO` (Documentation cut-off)
- `VCO` (VGM cut-off)
- `FCO` (FCL delivery cut-off)
- `LCO` (LCL delivery cut-off) **Condition:** only when the `Receipt Type at Origin` is `CFS`
- `EFC` (Earliest full-container delivery date)",
ShipmentLocation,location,Location,yes,,,,"The location information.",
ShipmentLocation,locationTypeCode,string,yes,maxLength=3,,PRE,"Links to the Location Type Code defined by DCSA. Possible values are:
- `PRE` (Place of Receipt)
- `POL` (Port of Loading)
- `POD` (Port of Discharge)
- `PDE` (Place of Delivery)
- `PCF` (Pre-carriage From)
- `OIR` (Onward In-land Routing)
- `ORI` (Origin of goods)
- `IEL` (Container intermediate export stop off location)
- `PTP` (Prohibited transshipment port)
- `RTP` (Requested transshipment port)
- `FCD` (Full container drop-off location)",
Shipper,address,PartyAddress,,,,,"Party address.",
Shipper,identifyingCodes,"IdentifyingCode list",,,,,,
Shipper,partyContactDetails,"PartyContactDetail list",,minItems=1,,,"A list of contact details",
Shipper,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
Shipper,purchaseOrderReferences,"string list",,maxLength=35,"^\S(?:.*\S)?$",,"A list of `Purchase Order Reference`s linked to the `Shipper`.
Item description:
A purchase order reference linked to the `Shipper`.",
Shipper,reference,string,,maxLength=35,"^\S(?:.*\S)?$",HHL007,"A reference linked to the `Shipper`.",
Shipper,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
TareWeight,unit,string,yes,,,KGM,"The unit of measure which can be expressed in imperial or metric terms
- `KGM` (Kilograms)
- `LBR` (Pounds)",
TareWeight,value,number,yes,minimum=0,,4800,"The weight of an empty container (gross container weight).",
